"filename", "language", "HTML", "JavaScript", "CSS", "SVG", "comment", "blank", "total"
"d:\Games\Soldier thing\index.html", "HTML", 17, 0, 0, 0, 0, 0, 17
"d:\Games\Soldier thing\resources\css\style.css", "CSS", 0, 0, 5, 0, 0, 1, 6
"d:\Games\Soldier thing\resources\images\character\SoldierAim.svg", "SVG", 0, 0, 0, 1, 0, 0, 1
"d:\Games\Soldier thing\resources\images\character\SoldierAimFire.svg", "SVG", 0, 0, 0, 1, 0, 0, 1
"d:\Games\Soldier thing\resources\images\character\SoldierFire.svg", "SVG", 0, 0, 0, 1, 0, 0, 1
"d:\Games\Soldier thing\resources\images\character\SoldierIdle.svg", "SVG", 0, 0, 0, 1, 0, 0, 1
"d:\Games\Soldier thing\resources\images\character\SoldierWalk1.svg", "SVG", 0, 0, 0, 1, 0, 0, 1
"d:\Games\Soldier thing\resources\images\character\SoldierWalk2.svg", "SVG", 0, 0, 0, 1, 0, 0, 1
"d:\Games\Soldier thing\resources\images\character\SoldierWalk3.svg", "SVG", 0, 0, 0, 1, 0, 0, 1
"d:\Games\Soldier thing\resources\images\character\SoldierWalk4.svg", "SVG", 0, 0, 0, 1, 0, 0, 1
"d:\Games\Soldier thing\resources\images\character\SoldierWalk5.svg", "SVG", 0, 0, 0, 1, 0, 0, 1
"d:\Games\Soldier thing\resources\images\character\SoldierWalk6.svg", "SVG", 0, 0, 0, 1, 0, 0, 1
"d:\Games\Soldier thing\resources\images\crosshair.svg", "SVG", 0, 0, 0, 5, 0, 1, 6
"d:\Games\Soldier thing\resources\images\logo.svg", "SVG", 0, 0, 0, 1, 0, 0, 1
"d:\Games\Soldier thing\resources\js\functions.js", "JavaScript", 0, 44, 0, 0, 4, 3, 51
"d:\Games\Soldier thing\resources\js\main.js", "JavaScript", 0, 8, 0, 0, 0, 0, 8
"d:\Games\Soldier thing\resources\js\mainloop.js", "JavaScript", 0, 123, 0, 0, 0, 5, 128
"d:\Games\Soldier thing\resources\js\vars.js", "JavaScript", 0, 59, 0, 0, 0, 0, 59
"Total", "-", 17, 234, 5, 16, 4, 10, 286
